#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Year
1942,Brandon Davis,CSUS,17,24.9,2.2,6.1,0.359,0.8,2.2,0.378,0.6,1.4,0.478,1.9,2.3,0.8,1.7,2.5,2.9,1.3,0.2,5.8,2021
1943,Antonio Gordon,KSU,21,24.3,2.3,5.3,0.438,0.3,1.7,0.171,0.9,1.3,0.643,1.5,2.0,2.4,3.4,5.8,0.9,0.6,0.3,5.8,2021
1944,P.J. Fuller,TCU,25,23.8,2.0,5.0,0.389,0.7,2.4,0.305,1.2,1.6,0.725,2.0,2.4,0.4,1.6,2.0,1.5,0.7,0.2,5.8,2021
1945,Reed Fenton,LU,15,26.5,1.7,5.7,0.302,0.8,3.3,0.245,1.5,1.7,0.885,1.0,1.7,0.3,2.2,2.5,1.5,0.8,0.1,5.8,2021
1946,Dailin Smith,AAMU,15,22.9,2.0,7.0,0.28600000000000003,0.9,3.3,0.265,0.9,1.9,0.5,2.1,2.4,0.7,3.1,3.8,0.7,0.5,0.5,5.8,2021
1947,Reefy Knox,CSU,5,15.4,1.8,6.6,0.273,1.8,5.8,0.31,0.4,0.8,0.5,1.0,2.6,0.0,0.8,0.8,0.6,0.2,0.2,5.8,2021
1948,Jordan Goldwire,DUKE,24,28.6,2.2,5.8,0.379,0.8,2.4,0.333,0.6,0.8,0.737,1.4,2.2,0.8,2.2,3.0,4.0,2.2,0.1,5.8,2021
1949,Kenan Sarvan,CSU,19,23.7,1.9,6.6,0.294,1.5,5.6,0.271,0.4,0.6,0.636,2.0,3.1,0.4,3.1,3.4,0.7,0.5,0.4,5.8,2021
1950,Jaedon LeDee,TCU,23,15.2,2.1,4.0,0.5379999999999999,0.0,0.2,0.0,1.5,2.2,0.7,0.5,2.1,1.7,2.2,3.9,0.3,0.3,0.1,5.8,2021
1951,Tre Williams III,U of M,27,18.6,2.3,5.6,0.404,0.9,2.7,0.329,0.4,1.2,0.312,1.0,1.8,0.5,2.0,2.5,1.0,0.6,0.1,5.8,2021
1952,Obinna Anochili,MU,22,16.8,1.9,4.4,0.4270000000000001,0.2,1.3,0.172,1.8,2.8,0.6559999999999999,0.9,2.4,0.6,2.2,2.8,0.4,0.5,1.0,5.8,2021
1953,Myja White,MU,22,23.4,2.0,4.8,0.419,1.1,2.7,0.4,0.7,0.8,0.882,0.5,1.9,0.2,1.8,2.0,0.9,0.4,0.0,5.8,2021
1954,"Fred Cleveland, Jr.",NC A&T,17,18.6,1.7,5.6,0.302,1.1,3.4,0.328,1.2,1.7,0.7240000000000001,1.2,1.3,0.5,1.5,2.0,1.3,1.2,0.0,5.8,2021
1955,Dayvion McKnight,WKU,29,24.6,2.0,5.2,0.38,0.1,0.8,0.182,1.7,2.1,0.8170000000000001,2.1,2.1,0.8,2.8,3.6,3.8,1.0,0.2,5.8,2021
