pk,tm,player1,college,conf
24,CHH,Shabazz Napier,UConn,BE
38,PHI,Khyri Thomas,Creighton,BE
56,DEN,Daniel Hamilton,UConn,BE
30,CHI,Jimmy Butler,Marquette,BE
10,PHI,Mikal Bridges,Villanova,BE
52,NOP,Edmond Sumner,Xavier,BE
27,NJN,Jordan Crawford,Xavier,BE
41,GSW,Eric Paschall,Villanova,BE
23,NYK,Wilson Chandler,DePaul,BE
30,WAS,Lazar Hayward,Marquette,BE
37,TOR,DeAndre Daniels,UConn,BE
9,DET,Andre Drummond,UConn,BE
6,POR,Damian Lillard,Weber State,BSky
15,DET,Rodney Stuckey,Eastern Washington,BSky
51,ORL,Tyler Harvey,Eastern Washington,BSky
52,UTA,Joel Bolomboy,Weber State,BSky
36,SAC,Orlando Johnson,UC Santa Barbara,BW
50,ATL,James Ennis,Cal State Long Beach,BW
53,UTA,Justin Wright-Foreman,Hofstra,CAA
46,LAL,Andrew Goudelock,College of Charleston,CAA
56,CHO,Grant Riller,College of Charleston,CAA
45,BOS,Marcus Thornton,William & Mary,CAA
50,IND,Jarrell Brantley,College of Charleston,CAA
44,GSW,Charles Jenkins,Hofstra,CAA
25,UTA,Morris Almond,Rice University,CUSA
37,DET,Tony Mitchell,University of North Texas,CUSA
58,LAL,Derrick Caracter,Texas-El Paso,CUSA
51,OKC,Magnum Rolle,Louisiana Tech,CUSA
54,CHA,Robert Vaden,UAB,CUSA
55,UTA,Jeremy Evans,Western Kentucky,CUSA
33,SAC,Hassan Whiteside,Marshall,CUSA
22,ORL,Courtney Lee,Western Kentucky,CUSA
32,SEA,Walter Sharpe,UAB,CUSA
55,BRK,Jay Scrubb,John A. Logan College,GRAC
48,ATL,Keith Benson,Oakland,Horz
36,SAC,Ray McCallum,Detroit Mercy,Horz
54,ATL,Kay Felder,Oakland,Horz
28,CHI,Norris Cole,Cleveland State University,Horz
26,SAS,George Hill,IUPUI,Horz
50,PHO,Alec Brown,Green Bay,Horz
58,GSW,Miye Oni,Yale,IVY
45,LAC,Jared Jordan,Marist College,MAAC
12,SAC,Jason Thompson,Rider University,MAAC
37,PHI,Richaun Holmes,Bowling Green,MAC
49,ORL,Kyle O'Quinn,Norfolk State,MEAC
50,IND,Alize Johnson,Missouri State,MVC
54,PHO,Alec Peters,Valparaiso,MVC
29,TOR,Malachi Flynn,San Diego State,MWC
37,MIL,Darington Hobson,New Mexico,MWC
60,NOP,Sam Merrill,Utah State University,MWC
47,WAS,Dominic McGuire,Fresno State,MWC
34,DAL,Nick Fazekas,Nevada,MWC
52,CHO,Jalen McDaniels,San Diego State,MWC
27,LAL,Larry Nance Jr.,Wyoming,MWC
20,MIA,Jason Smith,Colorado State,MWC
49,CHI,Cameron Bairstow,New Mexico,MWC
16,MIN,Luke Babbitt,Nevada,MWC
51,GSW,Justinian Jessup,Boise State,MWC
18,WAS,JaVale McGee,Nevada,MWC
10,IND,Paul George,Fresno State,MWC
38,MIL,Patrick McCaw,UNLV,MWC
15,IND,Kawhi Leonard,San Diego State,MWC
59,TOR,Xavier Thames,San Diego State,MWC
1,CLE,Anthony Bennett,UNLV,MWC
36,CHO,Cody Martin,Nevada,MWC
22,CHI,Chandler Hutchison,Boise State,MWC
30,BOS,J.R. Giddens,New Mexico,MWC
40,SAC,Justin James,Wyoming,MWC
41,ORL,Stephen Zimmerman,UNLV,MWC
17,MIL,Rashad Vaughn,UNLV,MWC
53,IND,Colton Iverson,Colorado State,MWC
20,CHI,Tony Snell,New Mexico,MWC
59,TOR,Jalen Harris,Nevada,MWC
34,POR,Armon Johnson,Nevada,MWC
41,MEM,Jamaal Franklin,San Diego State,MWC
56,MIL,Ramon Sessions,Nevada,MWC
58,BOS,Lester Hudson,University of Tennessee at Martin,OVC
